INFO:root:time: 6.07 mins, modality: ding, composite: 66.88%
INFO:root:time: 6.08 mins, modality: ding, composite: 68.52%
INFO:root:time: 6.09 mins, modality: ding, composite: 75.10%
INFO:root:time: 6.10 mins, modality: ding, composite: 85.64%
INFO:root:time: 6.11 mins, modality: ding, composite: 83.35%
INFO:root:time: 6.12 mins, modality: ding, composite: 79.00%
INFO:root:time: 6.13 mins, modality: ding, composite: 78.19%
INFO:root:time: 6.14 mins, modality: ding, composite: 78.96%
INFO:root:time: 6.15 mins, modality: ding, composite: 78.88%
INFO:root:time: 6.16 mins, modality: ding, composite: 79.01%
INFO:root:time: 6.17 mins, modality: ding, composite: 83.91%
INFO:root:time: 6.18 mins, modality: ding, composite: 85.62%
INFO:root:time: 6.19 mins, modality: ding, composite: 83.40%
INFO:root:time: 6.20 mins, modality: ding, composite: 85.05%
INFO:root:time: 6.21 mins, modality: ding, composite: 91.42%
INFO:root:time: 6.22 mins, modality: ding, composite: 91.50%
INFO:root:time: 6.23 mins, modality: ding, composite: 91.41%
INFO:root:time: 6.24 mins, modality: ding, composite: 87.84%
INFO:root:time: 6.25 mins, modality: ding, composite: 88.66%
INFO:root:time: 6.26 mins, modality: ding, composite: 91.02%
INFO:root:time: 6.27 mins, modality: ding, composite: 91.00%
INFO:root:time: 6.28 mins, modality: ding, composite: 90.37%
INFO:root:time: 6.29 mins, modality: ding, composite: 90.90%
INFO:root:time: 6.29 mins, modality: ding, composite: 89.02%
INFO:root:time: 6.31 mins, modality: ding, composite: 77.74%
INFO:root:time: 6.32 mins, modality: ding, composite: 72.15%
INFO:root:time: 6.33 mins, modality: ding, composite: 74.41%
INFO:root:time: 6.34 mins, modality: ding, composite: 74.94%
INFO:root:time: 6.35 mins, modality: ding, composite: 82.33%
INFO:root:time: 6.36 mins, modality: ding, composite: 78.26%
INFO:root:time: 6.37 mins, modality: ding, composite: 71.74%
INFO:root:time: 6.38 mins, modality: ding, composite: 70.98%
INFO:root:time: 6.39 mins, modality: ding, composite: 64.64%
INFO:root:time: 6.40 mins, modality: ding, composite: 71.80%
INFO:root:time: 6.41 mins, modality: ding, composite: 73.89%
INFO:root:time: 6.42 mins, modality: ding, composite: 73.03%
INFO:root:time: 6.43 mins, modality: ding, composite: 74.18%
INFO:root:time: 6.44 mins, modality: ding, composite: 72.42%
INFO:root:time: 6.45 mins, modality: ding, composite: 75.95%
INFO:root:time: 6.46 mins, modality: ding, composite: 69.08%
INFO:root:time: 6.46 mins, modality: ding, composite: 73.22%
INFO:root:time: 6.47 mins, modality: ding, composite: 70.26%
INFO:root:time: 6.48 mins, modality: ding, composite: 53.66%
INFO:root:time: 6.49 mins, modality: ding, composite: 52.95%
INFO:root:time: 6.51 mins, modality: ding, composite: 63.41%
INFO:root:time: 6.52 mins, modality: ding, composite: 72.86%
INFO:root:time: 6.53 mins, modality: ding, composite: 79.87%
INFO:root:time: 6.54 mins, modality: ding, composite: 78.75%
INFO:root:time: 6.55 mins, modality: ding, composite: 78.06%
INFO:root:time: 6.56 mins, modality: ding, composite: 77.69%
INFO:root:time: 6.57 mins, modality: ding, composite: 78.56%
INFO:root:time: 6.58 mins, modality: ding, composite: 78.91%
INFO:root:time: 6.59 mins, modality: ding, composite: 77.82%
INFO:root:time: 6.60 mins, modality: ding, composite: 78.90%
INFO:root:time: 6.61 mins, modality: ding, composite: 78.85%
INFO:root:time: 6.61 mins, modality: ding, composite: 78.78%
INFO:root:time: 6.62 mins, modality: ding, composite: 79.66%
INFO:root:time: 6.63 mins, modality: ding, composite: 82.13%
INFO:root:time: 6.64 mins, modality: ding, composite: 83.19%
INFO:root:time: 6.65 mins, modality: ding, composite: 80.30%
INFO:root:time: 6.66 mins, modality: ding, composite: 80.85%
INFO:root:time: 6.67 mins, modality: ding, composite: 83.78%
INFO:root:time: 6.68 mins, modality: ding, composite: 84.98%
INFO:root:time: 6.69 mins, modality: ding, composite: 86.17%
INFO:root:time: 6.70 mins, modality: ding, composite: 84.92%
INFO:root:time: 6.71 mins, modality: ding, composite: 82.35%
INFO:root:time: 6.72 mins, modality: ding, composite: 80.46%
INFO:root:time: 6.73 mins, modality: ding, composite: 80.87%
INFO:root:time: 6.74 mins, modality: ding, composite: 80.49%
INFO:root:time: 6.75 mins, modality: ding, composite: 82.02%
INFO:root:time: 6.76 mins, modality: ding, composite: 81.66%
INFO:root:time: 6.77 mins, modality: ding, composite: 81.73%
INFO:root:time: 6.78 mins, modality: ding, composite: 83.89%
INFO:root:time: 6.79 mins, modality: ding, composite: 84.72%
INFO:root:time: 6.80 mins, modality: ding, composite: 84.30%
INFO:root:time: 6.81 mins, modality: ding, composite: 84.61%
INFO:root:time: 6.82 mins, modality: ding, composite: 83.72%
INFO:root:time: 6.83 mins, modality: ding, composite: 80.27%
INFO:root:time: 6.85 mins, modality: ding, composite: 81.13%
INFO:root:time: 6.85 mins, modality: ding, composite: 79.76%
INFO:root:time: 6.86 mins, modality: ding, composite: 79.78%
INFO:root:time: 6.87 mins, modality: ding, composite: 78.44%
INFO:root:time: 6.88 mins, modality: ding, composite: 76.88%
INFO:root:time: 6.90 mins, modality: ding, composite: 77.03%
INFO:root:time: 6.91 mins, modality: ding, composite: 77.11%
INFO:root:time: 6.92 mins, modality: ding, composite: 77.82%
INFO:root:time: 6.93 mins, modality: ding, composite: 76.24%
INFO:root:time: 6.95 mins, modality: ding, composite: 77.21%
INFO:root:time: 6.96 mins, modality: ding, composite: 77.99%
INFO:root:time: 6.97 mins, modality: ding, composite: 77.94%
INFO:root:time: 6.98 mins, modality: ding, composite: 81.01%
INFO:root:time: 6.99 mins, modality: ding, composite: 82.10%
INFO:root:time: 7.00 mins, modality: ding, composite: 77.72%
INFO:root:time: 8.00 mins, modality: ding, composite: 82.01%
INFO:root:time: 8.01 mins, modality: ding, composite: 81.27%
INFO:root:time: 8.02 mins, modality: ding, composite: 81.16%
INFO:root:time: 8.03 mins, modality: ding, composite: 80.05%
INFO:root:time: 8.04 mins, modality: ding, composite: 79.64%
INFO:root:time: 8.05 mins, modality: ding, composite: 79.54%
INFO:root:time: 8.06 mins, modality: ding, composite: 79.30%
INFO:root:time: 8.07 mins, modality: ding, composite: 79.80%
INFO:root:time: 8.08 mins, modality: ding, composite: 80.72%
INFO:root:time: 8.09 mins, modality: ding, composite: 80.56%
INFO:root:time: 8.10 mins, modality: ding, composite: 80.91%
INFO:root:time: 8.10 mins, modality: ding, composite: 80.54%
INFO:root:time: 8.11 mins, modality: ding, composite: 71.85%
INFO:root:time: 8.12 mins, modality: ding, composite: 73.92%
INFO:root:time: 8.13 mins, modality: ding, composite: 82.14%
INFO:root:time: 8.14 mins, modality: ding, composite: 89.70%
INFO:root:time: 8.15 mins, modality: ding, composite: 83.82%
INFO:root:time: 8.16 mins, modality: ding, composite: 83.56%
INFO:root:time: 8.17 mins, modality: ding, composite: 83.19%
INFO:root:time: 8.18 mins, modality: ding, composite: 83.88%
INFO:root:time: 8.19 mins, modality: ding, composite: 83.77%
INFO:root:time: 8.20 mins, modality: ding, composite: 84.99%
INFO:root:time: 8.21 mins, modality: ding, composite: 86.51%
INFO:root:time: 8.22 mins, modality: ding, composite: 86.86%
INFO:root:time: 8.23 mins, modality: ding, composite: 85.37%
INFO:root:time: 8.24 mins, modality: ding, composite: 82.97%
INFO:root:time: 8.25 mins, modality: ding, composite: 83.43%
INFO:root:time: 8.26 mins, modality: ding, composite: 83.49%
INFO:root:time: 8.27 mins, modality: ding, composite: 84.29%
INFO:root:time: 8.28 mins, modality: ding, composite: 84.50%
INFO:root:time: 8.29 mins, modality: ding, composite: 84.46%
INFO:root:time: 8.30 mins, modality: ding, composite: 83.91%
INFO:root:time: 8.31 mins, modality: ding, composite: 82.38%
INFO:root:time: 8.32 mins, modality: ding, composite: 84.72%
INFO:root:time: 8.33 mins, modality: ding, composite: 83.03%
INFO:root:time: 8.34 mins, modality: ding, composite: 79.91%
INFO:root:time: 8.35 mins, modality: ding, composite: 79.35%
INFO:root:time: 8.36 mins, modality: ding, composite: 87.08%
INFO:root:time: 8.37 mins, modality: ding, composite: 83.95%
INFO:root:time: 8.38 mins, modality: ding, composite: 87.21%
INFO:root:time: 8.39 mins, modality: ding, composite: 86.20%
INFO:root:time: 8.41 mins, modality: ding, composite: 88.07%
INFO:root:time: 8.42 mins, modality: ding, composite: 88.78%
INFO:root:time: 8.43 mins, modality: ding, composite: 89.61%
INFO:root:time: 8.45 mins, modality: ding, composite: 89.31%
INFO:root:time: 8.46 mins, modality: ding, composite: 87.23%
INFO:root:time: 8.47 mins, modality: ding, composite: 86.94%
INFO:root:time: 8.48 mins, modality: ding, composite: 96.43%
INFO:root:time: 8.49 mins, modality: ding, composite: 98.25%
INFO:root:time: 8.50 mins, modality: ding, composite: 98.26%
INFO:root:time: 8.51 mins, modality: ding, composite: 91.00%
INFO:root:time: 8.52 mins, modality: ding, composite: 85.41%
INFO:root:time: 8.53 mins, modality: ding, composite: 85.94%
INFO:root:time: 8.54 mins, modality: ding, composite: 86.20%
INFO:root:time: 8.55 mins, modality: ding, composite: 90.26%
INFO:root:time: 8.56 mins, modality: ding, composite: 91.52%
INFO:root:time: 8.57 mins, modality: ding, composite: 92.21%
INFO:root:time: 8.58 mins, modality: ding, composite: 90.75%
INFO:root:time: 8.59 mins, modality: ding, composite: 90.15%
